# 电机故障日志；上位机收到电机故障回包后在此追加本机时间戳、总线、ID、错误码和板端 tick。
2026-08-14T09:17:00.181+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231423
2026-08-14T09:17:00.188+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231425
2026-08-14T09:17:00.195+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231427
2026-08-14T09:17:00.204+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231429
2026-08-14T09:17:00.211+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231431
2026-08-14T09:17:00.219+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231433
2026-08-14T09:17:00.226+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231435
2026-08-14T09:17:00.234+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231437
2026-08-14T09:17:00.241+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231439
2026-08-14T09:17:00.248+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231441
2026-08-14T09:17:00.256+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231443
2026-08-14T09:17:00.264+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231445
2026-08-14T09:17:00.271+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231447
2026-08-14T09:17:00.278+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231449
2026-08-14T09:17:00.286+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231451
2026-08-14T09:17:00.293+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231453
2026-08-14T09:17:00.300+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231455
2026-08-14T09:17:00.308+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231457
2026-08-14T09:17:00.315+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231459
2026-08-14T09:17:00.323+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231461
2026-08-14T09:17:00.330+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231463
2026-08-14T09:17:00.338+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231465
2026-08-14T09:17:00.345+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231467
2026-08-14T09:17:00.352+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231469
2026-08-14T09:17:00.360+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231471
2026-08-14T09:17:00.367+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231473
2026-08-14T09:17:00.375+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231475
2026-08-14T09:17:00.382+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231477
2026-08-14T09:17:00.390+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231479
2026-08-14T09:17:00.397+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231481
2026-08-14T09:17:00.404+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231483
2026-08-14T09:17:00.412+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231485
2026-08-14T09:17:00.419+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231487
2026-08-14T09:17:00.427+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231489
2026-08-14T09:17:00.434+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231491
2026-08-14T09:17:00.441+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231493
2026-08-14T09:17:00.449+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231495
2026-08-14T09:17:00.457+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231497
2026-08-14T09:17:00.465+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231499
2026-08-14T09:17:00.472+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231501
2026-08-14T09:17:00.480+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231503
2026-08-14T09:17:00.488+08:00 | J4310 | FDCAN1 | ID=0x06 | error=0x01 (未知故障) | board_tick_ms=231505
